[WONDERFUL M@GIC!! Day1]
大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 赤﨑千夏, 五十嵐裕美, 上坂すみれ, 桜咲千依, 大坪由佳, 高森奈津美, 津田美波, 松嵜麗, 三宅麻理恵, 山本希望, 佳村はるか
1	お願い！シンデレラ	全員
2	ミツボシ☆☆★	原紗友里
3	熱血乙女A	赤﨑千夏
4	DOKIDOKIリズム	山本希望
5	TOKIMEKIエスカレート	佳村はるか
6	ましゅまろ☆キッス	松嵜麗
7	Orange Sapphire	原紗友里, 赤﨑千夏, 松嵜麗, 山本希望, 佳村はるか
8	小さな恋の密室事件	桜咲千依
9	Twilight Sky	青木瑠璃子
10	Never say never	福原綾香
11	You're stars shine on me	上坂すみれ
12	Nation Blue	福原綾香, 青木瑠璃子, 上坂すみれ, 桜咲千依
13	輝く世界の魔法	全員
14	あんずのうた	五十嵐裕美
15	おねだり Shall We～？	高森奈津美
16	メルヘンデビュー	三宅麻理恵
17	ショコラ・ティアラ	大坪由佳
18	Naked Romance	津田美波
19	S(mile)ING!	大橋彩香
20	アタシポンコツアンドロイド	大橋彩香, 五十嵐裕美, 大坪由佳, 高森奈津美, 津田美波, 三宅麻理恵
21	ススメ☆オトメ ～jewel parade～	全員
22	お願い！シンデレラ	全員
[WONDERFUL M@GIC!! Day2]
大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 内田真礼, 大坪由佳, 黒沢ともよ, 洲崎綾, 高森奈津美, 津田美波, 早見沙織, 松嵜麗, 山本希望, 佳村はるか
1	お願い！シンデレラ	全員
2	ミツボシ☆☆★	原紗友里
3	DOKIDOKIリズム	山本希望
4	TOKIMEKIエスカレート	佳村はるか
5	ましゅまろ☆キッス	松嵜麗
6	Romantic Now	黒沢ともよ
7	Orange Sapphire	原紗友里, 黒沢ともよ, 松嵜麗, 山本希望, 佳村はるか
8	アタシポンコツアンドロイド	大橋彩香, 五十嵐裕美, 大坪由佳, 高森奈津美, 津田美波
9	あんずのうた	五十嵐裕美
10	おねだり Shall We～？	高森奈津美
11	ショコラ・ティアラ	大坪由佳
12	Naked Romance	津田美波
13	S(mile)ING!	大橋彩香
14	輝く世界の魔法	全員
15	Nation Blue	福原綾香, 青木瑠璃子, 内田真礼, 洲崎綾, 早見沙織
16	Twilight Sky	青木瑠璃子
17	Never say never	福原綾香
18	ヴィーナスシンドローム	洲崎綾
19	華蕾夢ミル狂詩曲～魂ノ導～	内田真礼
20	こいかぜ	早見沙織
21	ススメ☆オトメ ～jewel parade～	全員
22	お願い！シンデレラ	全員
[PARTY M@GIC!!]
大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 上坂すみれ, 桜咲千依, 大空直美, 金子有希, 鈴木絵理, 高森奈津美, 立花理香, 東山奈央, 渕上舞, 牧野由依, 松井恵理子, 松嵜麗, 松田颯水, 三宅麻理恵, 山本希望, 佳村はるか
1	お願い！シンデレラ	全員
2	We're the friends!	原紗友里, 五十嵐裕美, 桜咲千依, 大空直美, 金子有希, 鈴木絵理, 立花理香, 東山奈央, 牧野由依, 松田颯水, 三宅麻理恵
3	S(mile)ING!	大橋彩香
4	TOKIMEKIエスカレート	佳村はるか
5	DOKIDOKIリズム	山本希望, 佳村はるか(一部)
6	Twilight Sky	青木瑠璃子
7	ミツボシ☆☆★	原紗友里
8	絶対特権主張しますっ！	金子有希, 鈴木絵理, 松嵜麗, 松田颯水
9	アタシポンコツアンドロイド	五十嵐裕美, 高森奈津美, 三宅麻理恵
10	エヴリデイドリーム	牧野由依
11	花簪 HANAKANZASHI	立花理香
12	Angel Breeze	東山奈央
13	お散歩カメラ	金子有希
14	おねだり Shall We～？	高森奈津美
15	小さな恋の密室事件	桜咲千依
16	パステルピンクな恋	大橋彩香, 大空直美, 立花理香, 牧野由依
17	メッセージ	大橋彩香, 福原綾香, 青木瑠璃子, 上坂すみれ, 高森奈津美, 渕上舞, 松井恵理子, 松嵜麗, 山本希望, 佳村はるか
18	ゴキゲンParty Night	全員
19	毒茸伝説	松田颯水
20	メルヘンデビュー	三宅麻理恵
21	あんずのうた	五十嵐裕美
22	ましゅまろ☆キッス	松嵜麗
23	ミラクルテレパシー	鈴木絵理
24	Orange Sapphire	原紗友里, 山本希望, 佳村はるか
25	Nation Blue	青木瑠璃子, 上坂すみれ, 桜咲千依, 東山奈央
26	2nd SIDE	松井恵理子
27	You're stars shine on me	上坂すみれ
28	風色メロディ	大空直美
29	薄荷 -ハッカ-	渕上舞
30	Never say never	福原綾香
31	オルゴールの小箱	福原綾香, 渕上舞, 松井恵理子
32	Star!!	全員
33	輝く世界の魔法	全員
34	ススメ☆オトメ ～jewel parade～	全員
35	お願い！シンデレラ	全員
[SUMMER FESTIV@L 2015 東京]
大橋彩香, 福原綾香, 原紗友里, 黒沢ともよ, 大空直美, 山本希望, 青木瑠璃子, 五十嵐裕美, 高森奈津美, 松嵜麗, 三宅麻理恵
1	Star!!	全員
2	Shine!!	全員
3	LET'S GO HAPPY!!	黒沢ともよ, 山本希望, 松嵜麗
4	Happy×2 Days	大空直美, 五十嵐裕美, 三宅麻理恵
5	ØωØver!!	青木瑠璃子, 高森奈津美
6	できたてEvo! Revo! Generation!	大橋彩香, 福原綾香, 原紗友里
7	メルヘンデビュー	高森奈津美, 三宅麻理恵
8	夢色ハーモニー	全員
9	GOIN'!!!	全員
10	お願い！シンデレラ	全員
[SUMMER FESTIV@L 2015 大阪]
大橋彩香, 福原綾香, 原紗友里, 黒沢ともよ, 大空直美, 山本希望, 青木瑠璃子, 五十嵐裕美, 高森奈津美, 大坪由佳, 松嵜麗, 佳村はるか
1	Shine!!	全員
2	LET'S GO HAPPY!!	黒沢ともよ, 山本希望, 松嵜麗
3	Happy×2 Days	大空直美, 五十嵐裕美, 大坪由佳
4	できたてEvo! Revo! Generation!	大橋彩香, 福原綾香, 原紗友里
5	ØωØver!!	青木瑠璃子, 高森奈津美
6	TOKIMEKIエスカレート	山本希望, 佳村はるか
7	夢色ハーモニー	全員
8	GOIN'!!!	全員
9	お願い！シンデレラ	全員
10	Star!!	全員
[シンデレラの舞踏会 -Power of Smile- Day1]
大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか, 桜咲千依, 金子有希, 鈴木絵理, 立花理香, 津田美波, 松田颯水, 三宅麻理恵, 杜野まこ, 和氣あず未
1	お願い！シンデレラ	全員
2	Star!!	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか
3	We're the friends!	桜咲千依, 金子有希, 鈴木絵理, 立花理香, 津田美波, 松田颯水, 三宅麻理恵, 杜野まこ, 和氣あず未
4	S(mile)ING!	大橋彩香, 立花理香, 津田美波
5	LET'S GO HAPPY!!	黒沢ともよ, 松嵜麗, 山本希望
6	気持ちいいよね 一等賞！	杜野まこ
7	ミラクルテレパシー	原紗友里, 金子有希, 鈴木絵理
8	あんずのうた	五十嵐裕美, 大空直美, 大坪由佳, (三宅麻理恵)
9	毒茸伝説	松田颯水
10	TOKIMEKIエスカレート	佳村はるか, (バックダンサー:大橋/福原/原)
11	ØωØver!!	青木瑠璃子, 高森奈津美
12	Can't Stop!!	和氣あず未
13	小さな恋の密室事件	黒沢ともよ, 山本希望, 桜咲千依
14	メルヘンデビュー	高森奈津美, 鈴木絵理, 三宅麻理恵
15	ミツボシ☆☆★	大橋彩香, 福原綾香, 原紗友里
16	Shine!!	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか
17	Orange Sapphire	金子有希, 三宅麻理恵, 杜野まこ, 和氣あず未
18	Romantic Now	黒沢ともよ, 山本希望, 佳村はるか
19	おねだり Shall We～？	大橋彩香, 高森奈津美, 松嵜麗
20	Happy×2 Days	五十嵐裕美, 大空直美, 大坪由佳
21	ススメ☆オトメ ～jewel parade～	原紗友里, 鈴木絵理, 立花理香, 三宅麻理恵, 杜野まこ, 和氣あず未
22	Memories	福原綾香, 青木瑠璃子
23	-LEGNE- 仇なす剣 光の旋律	桜咲千依, 松田颯水
24	花簪 HANAKANZASHI	鈴木絵理, 立花理香
25	メッセージ	金子有希, 津田美波, 松田颯水
26	GOIN'!!!	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか
27	shabon song	佳村はるか, 津田美波
28	お散歩カメラ	青木瑠璃子, 高森奈津美, 金子有希
29	ショコラ・ティアラ	大坪由佳, 黒沢ともよ, 松嵜麗, 山本希望
30	あいくるしい	五十嵐裕美, 立花理香
31	風色メロディ	大空直美
32	つぼみ	原紗友里, 桜咲千依, 鈴木絵理, 松田颯水, 三宅麻理恵, 杜野まこ, 和氣あず未
33	Never say never	福原綾香
34	できたてEvo! Revo! Generation!	大橋彩香, 福原綾香, 原紗友里
35	夢色ハーモニー	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか
36	M@GIC☆	全員
37	夕映えプレゼント	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか
38	とどけ！アイドル	全員
39	お願い！シンデレラ	全員
[シンデレラの舞踏会 -Power of Smile- Day2]
大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 洲崎綾, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか, 飯田友子, 佐藤亜美菜, 髙野麻美, 照井春佳, 東山奈央, 松井恵理子, 安野希世乃, ルゥ・ティン
1	お願い！シンデレラ	全員
2	Star!!	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 洲崎綾, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか
3	ススメ☆オトメ ～jewel parade～	飯田友子, 佐藤亜美菜, 髙野麻美, 照井春佳, 東山奈央, 松井恵理子, 安野希世乃, ルゥ・ティン
4	できたてEvo! Revo! Generation!	大橋彩香, 福原綾香, 原紗友里
5	Heart Voice	五十嵐裕美, 大空直美, 大坪由佳, 佐藤亜美菜
6	ラヴィアンローズ	照井春佳
7	青の一番星	ルゥ・ティン
8	き・ま・ぐ・れ☆Cafe au lait!	髙野麻美, 大橋彩香, 高森奈津美
9	私色ギフト	黒沢ともよ, 松嵜麗, 山本希望, 佳村はるか
10	Rockin' Emotion	安野希世乃
11	Twilight Sky	青木瑠璃子
12	Nocturne	飯田友子, 東山奈央
13	Memories	福原綾香, 洲崎綾, 佳村はるか
14	2nd SIDE	松井恵理子
15	Wonder goes on!!	青木瑠璃子, 高森奈津美, 松嵜麗, 安野希世乃, 三宅麻理恵
16	Shine!!	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 洲崎綾, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか
17	Orange Sapphire	髙野麻美, 照井春佳, 安野希世乃, 三宅麻理恵
18	DOKIDOKIリズム	山本希望, 佳村はるか
19	Angel Breeze	原紗友里, 黒沢ともよ, 東山奈央
20	ましゅまろ☆キッス	五十嵐裕美, 松嵜麗
21	アタシポンコツアンドロイド	大橋彩香, 大空直美, 大坪由佳, 高森奈津美, 三宅麻理恵
22	We're the friends!	洲崎綾, 東山奈央, 松井恵理子
23	-LEGNE- 仇なす剣 光の旋律	福原綾香, 青木瑠璃子
24	Nebula Sky	黒沢ともよ, 松嵜麗, 山本希望
25	メッセージ	飯田友子, 佐藤亜美菜, ルゥ・ティン
26	GOIN'!!!	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 洲崎綾, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか, 安野希世乃, 三宅麻理恵
27	Absolute NIne	福原綾香, 飯田友子, 佐藤亜美菜, 髙野麻美, 照井春佳, 東山奈央, 松井恵理子, ルゥ・ティン
28	Hotel Moonside	飯田友子
29	in fact	佐藤亜美菜
30	Trancing Pulse	福原綾香, 松井恵理子
31	この空の下	大空直美, 大坪由佳, 洲崎綾
32	つぼみ	原紗友里, 青木瑠璃子, 五十嵐裕美, 黒沢ともよ, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか
33	心もよう	福原綾香, 原紗友里
34	流れ星キセキ	大橋彩香, 福原綾香, 原紗友里
35	S(mile)ING!	大橋彩香
36	夢色ハーモニー	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 大空直美, 大坪由佳, 黒沢ともよ, 高森奈津美, 松嵜麗, 山本希望, 佳村はるか
37	M@GIC☆	全員
